범죄대분류,범죄중분류,"아파트,연립다세대",단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,"시장,노점","숙박업소,목욕탕",유흥접객업소,사무실,공장,"공사장,광산",창고,"역,대합실",지하철,기타표통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,피씨방,기타
강력범죄,살인기수,95,71,1,24,1,0,0,0,0,1,14,13,6,1,0,1,0,0,3,0,3,1,0,3,2,6,3,0,0,0,2,0,0,50
강력범죄,살인미수등,85,90,1,112,0,1,0,0,2,0,20,27,15,2,0,1,1,0,4,0,2,0,1,6,1,1,2,0,0,0,7,1,0,142
강력범죄,강도,82,86,1,261,0,14,83,1,21,5,71,62,24,2,1,1,2,0,15,1,6,5,10,1,5,7,1,0,0,0,18,4,5,172
강력범죄,강간,1030,896,1,184,0,3,4,0,16,10,1411,224,38,2,4,2,3,0,115,0,24,26,1,13,14,9,0,0,0,3,48,47,2,1093
강력범죄,유사강간,138,99,0,36,0,0,1,0,2,2,107,44,10,0,1,0,1,0,22,0,7,10,0,5,0,1,0,0,0,0,12,11,0,127
강력범죄,강제추행,1060,840,15,3390,19,54,218,13,237,97,670,2170,406,46,8,14,359,1046,972,72,224,317,11,238,45,26,3,15,7,0,101,61,44,5149
강력범죄,기타강간강제추행등,64,80,0,17,0,2,0,0,3,0,31,9,1,0,0,0,0,0,9,1,8,5,0,3,0,3,0,0,0,0,1,8,0,59
강력범죄,방화,205,229,0,175,0,1,0,0,10,7,14,36,29,19,13,14,1,1,3,1,13,11,4,8,14,11,2,0,0,0,35,6,0,510
폭력범죄,상해,3712,3000,46,14833,27,93,159,12,373,259,492,4779,1386,388,261,30,134,28,222,45,414,504,14,380,144,194,35,4,5,8,760,40,74,11756
폭력범죄,폭행,11825,8302,131,58348,98,286,1066,46,1026,539,1054,11904,2770,451,416,55,524,267,1357,101,1127,593,54,1062,211,169,78,37,27,2,2516,107,316,52776
폭력범죄,체포감금,178,123,8,306,0,1,1,1,9,2,42,51,63,5,2,3,4,0,74,0,0,7,0,37,8,5,0,0,0,1,38,2,1,467
폭력범죄,협박,1789,1676,112,4979,7,27,107,3,125,64,73,700,566,38,33,8,20,8,56,7,58,70,13,99,37,30,4,3,7,3,143,2,19,4613
폭력범죄,약취유인,23,11,0,76,0,0,0,1,1,0,8,6,1,0,0,0,4,1,1,0,3,14,0,1,1,1,0,0,0,0,2,0,0,51
폭력범죄,폭력행위등,419,317,5,5280,4,6,48,3,82,98,101,1141,254,27,63,8,20,3,28,5,193,149,9,41,79,28,2,2,5,1,269,24,21,2520
