범죄대분류,범죄중분류,00:00-02:59,03:00-05:59,06:00-08:59,09:00-11:59,12:00-14:59,15:00-17:59,18:00-20:59,21:00-23:59,미상,일,월,화,수,목,금,토
강력범죄,살인기수,20,28,31,21,38,38,53,43,29,30,51,42,43,57,45,33
강력범죄,살인미수등,47,41,44,62,47,62,72,98,51,74,76,78,73,67,73,83
강력범죄,강도,132,162,58,69,74,87,99,134,152,151,123,139,142,139,142,131
강력범죄,강간,720,886,383,353,309,330,397,688,1157,890,690,667,680,665,757,874
강력범죄,유사강간,82,101,58,43,49,50,51,73,129,107,81,79,82,67,116,104
강력범죄,강제추행,1994,1981,1527,1309,1363,1730,2398,3142,2503,2619,2309,2404,2467,2565,2685,2898
강력범죄,기타 강간 강제추행등,30,38,19,25,23,24,23,42,80,46,35,38,45,38,38,64
강력범죄,방화,157,140,85,110,161,154,203,249,113,217,193,196,188,209,181,188
절도범죄,절도범죄,13734,14362,12491,21376,24533,26865,26609,22137,21650,25926,25011,24799,25147,25746,27505,29623
폭력범죄,상해,5278,4426,2709,3597,3516,4267,5708,9228,5882,7070,5882,6221,6219,5923,6357,6939
폭력범죄,폭행,21395,17631,9412,11236,11508,13903,20798,37016,16742,26517,19983,21358,21317,21073,22540,26853
폭력범죄,체포감금,106,131,121,168,145,150,202,216,200,197,224,194,203,216,211,194
폭력범죄,협박,999,767,1099,1780,1731,1945,2386,2553,2239,2163,2128,2133,2252,2248,2298,2277
폭력범죄,약취유인,11,11,12,27,30,39,30,5,41,19,26,34,39,27,31,30
폭력범죄,폭력행위등,1870,1796,588,552,592,810,1175,2304,1568,2174,1402,1339,1447,1333,1522,2038
폭력범죄,공갈,150,81,85,403,298,478,654,603,1400,518,622,555,648,668,633,508
폭력범죄,손괴,5291,4704,3960,5085,4506,5994,9130,11014,6599,8519,7439,7507,7507,7674,8326,9311
지능범죄,직무유기,0,3,8,140,37,16,11,5,284,35,98,70,99,92,78,32
지능범죄,직권남용,14,7,10,92,48,37,26,25,235,41,77,77,89,82,89,39
지능범죄,증수뢰,0,1,0,43,24,13,19,5,207,28,47,41,63,54,61,18
지능범죄,통화,8,19,89,558,291,306,97,55,1371,113,621,481,492,471,471,145
지능범죄,문서인장,190,134,159,2438,1672,603,306,436,6514,921,2152,1999,1990,2087,2129,1174
지능범죄,유가증권인지,2,2,1,50,21,17,7,0,117,11,41,38,37,39,34,17
지능범죄,사기,5437,3834,2844,41906,25422,16567,11251,10811,113417,18962,37853,38286,38155,38937,38384,20912
지능범죄,횡령,2487,2105,2031,6928,5419,5530,5555,5515,14928,6491,7162,7141,7142,7188,7962,7412
지능범죄,배임,6,2,5,865,240,69,34,17,2468,273,613,620,610,628,680,282
풍속범죄,성풍속범죄,647,542,911,1309,1366,2071,1966,1917,3083,1709,1983,2014,1999,2134,2073,1900
풍속범죄,도박범죄,280,181,222,591,640,1071,1273,1172,3259,1116,1283,1340,1233,1087,1250,1380
특별경제범죄,특별경제범죄,2105,1589,1444,7412,5641,4915,4607,6160,19483,5379,8486,8510,8558,8576,8342,5505
마약범죄,마약범죄,307,202,148,671,743,853,843,769,2965,898,1166,1116,1206,1110,1066,939
보건범죄,보건범죄,508,291,108,1360,864,1107,867,1504,5952,1075,1941,1999,2142,2106,2062,1236
환경범죄,환경범죄,24,35,1011,714,332,298,117,80,2268,349,807,827,868,868,774,386
교통범죄,교통범죄,36241,33054,45162,53784,51906,64011,71345,112998,32661,65739,66657,69933,71558,73767,76963,76545
노동범죄,노동범죄,21,13,7,682,86,71,57,69,1856,121,577,539,563,465,459,138
안보범죄,안보범죄,4,4,5,15,9,7,6,11,37,11,14,12,18,17,12,14
선거범죄,선거범죄,17,18,55,127,76,85,58,47,157,67,69,140,69,103,114,78
병역범죄,병역범죄,6,2,30,2206,363,57,56,40,12567,272,3603,4442,2377,2287,2156,190
기타범죄,기타범죄,10852,9598,10891,34691,22644,23500,20865,27711,74119,24881,35693,36886,36964,37651,35902,26894
